Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BZ=F,CL=F,GC=F,HG=F,NG=F,PL=F,SI=F,ZC=F,ZS=F,ZW=F,BZ=F,CL=F,GC=F,HG=F,NG=F,PL=F,SI=F,ZC=F,ZS=F,ZW=F,BZ=F,CL=F,GC=F,HG=F,NG=F,PL=F,SI=F,ZC=F,ZS=F,ZW=F,BZ=F,CL=F,GC=F,HG=F,NG=F,PL=F,SI=F,ZC=F,ZS=F,ZW=F,BZ=F,CL=F,GC=F,HG=F,NG=F,PL=F,SI=F,ZC=F,ZS=F,ZW=F
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-30,75.73999786376953,76.83000183105469,664.0999755859375,3.5920000076293945,6.499000072479248,1284.800048828125,12.833999633789062,323.5,822.75,637.5,76.52999877929688,77.33000183105469,665.2000122070312,3.5994999408721924,6.579999923706055,1284.800048828125,12.760000228881836,324.75,825.0,655.25,75.44000244140625,76.05000305175781,659.2999877929688,3.515000104904175,6.23199987411499,1284.800048828125,12.760000228881836,313.5,815.5,632.0,75.8499984741211,76.94999694824219,659.9000244140625,3.561000108718872,6.239999771118164,1284.800048828125,12.760000228881836,323.5,818.0,654.5,2575.0,189456.0,36526.0,331.0,51983.0,0.0,14.0,25315.0,19018.0,29358.0
2007-07-31,77.05000305175781,78.20999908447266,666.9000244140625,3.6535000801086426,6.190999984741211,1300.5999755859375,12.949999809265137,325.75,834.0,630.0,77.16999816894531,78.27999877929688,668.2999877929688,3.6549999713897705,6.684000015258789,1300.5999755859375,12.949999809265137,326.5,838.0,640.5,75.66999816894531,76.5999984741211,662.5999755859375,3.5910000801086426,6.165999889373779,1300.5999755859375,12.949999809265137,321.5,823.5,626.0,75.69999694824219,76.69999694824219,665.0,3.5910000801086426,6.565999984741211,1300.5999755859375,12.949999809265137,324.75,823.5,639.0,3513.0,196464.0,5769.0,518.0,59860.0,0.0,2.0,30891.0,11921.0,33476.0
2007-08-01,75.3499984741211,76.52999877929688,663.5999755859375,3.5950000286102295,6.3520002365112305,1288.9000244140625,12.887999534606934,319.0,825.75,636.0,77.05999755859375,78.7699966430664,666.2999877929688,3.614500045776367,6.5,1288.9000244140625,12.887999534606934,328.0,842.75,637.25,74.86000061035156,76.08999633789062,658.5,3.556999921798706,6.103000164031982,1288.9000244140625,12.887999534606934,316.75,823.5,620.0,77.0,77.94000244140625,663.2000122070312,3.614500045776367,6.201000213623047,1288.9000244140625,12.887999534606934,327.0,834.5,630.25,3930.0,306683.0,2026.0,410.0,69615.0,0.0,2.0,25569.0,10742.0,34276.0
2007-08-02,75.76000213623047,76.86000061035156,664.5999755859375,3.575000047683716,6.105999946594238,1297.0,12.9350004196167,324.0,831.0,641.75,76.20999908447266,77.44000244140625,666.7000122070312,3.625,6.454999923706055,1297.0,12.9350004196167,328.0,835.5,651.75,74.2699966430664,75.5199966430664,662.7999877929688,3.572999954223633,6.074999809265137,1297.0,12.9350004196167,322.25,826.75,638.0,75.22000122070312,76.73999786376953,666.7000122070312,3.5940001010894775,6.4120001792907715,1297.0,12.9350004196167,324.0,827.0,638.0,6180.0,214006.0,1062.0,300.0,51049.0,0.0,2.0,20120.0,5663.0,32048.0
2007-08-03,74.75,75.4800033569336,672.5,3.484499931335449,6.090000152587891,1296.0,13.100000381469727,326.5,839.0,650.0,76.0,77.36000061035156,674.4000244140625,3.571000099182129,6.291999816894531,1296.0,12.954999923706055,330.0,841.25,651.25,74.52999877929688,75.04000091552734,665.7000122070312,3.4684998989105225,6.031000137329102,1296.0,12.949999809265137,322.0,833.0,643.5,75.38999938964844,76.88999938964844,665.7999877929688,3.571000099182129,6.164000034332275,1296.0,12.954999923706055,324.0,833.0,643.5,4387.0,233021.0,575.0,220.0,40855.0,0.0,2.0,24814.0,4781.0,15480.0
2007-08-06,71.16999816894531,72.05999755859375,671.5,3.4784998893737793,6.208000183105469,1297.0,12.97700023651123,325.75,826.0,664.0,74.5999984741211,75.0999984741211,672.0999755859375,3.496999979019165,6.28000020980835,1297.0,12.97700023651123,327.0,828.5,665.75,70.87000274658203,71.5999984741211,668.7999877929688,3.4549999237060547,5.906000137329102,1297.0,12.97700023651123,316.5,817.0,641.25,74.54000091552734,75.04000091552734,672.0999755859375,3.4619998931884766,6.1620001792907715,1297.0,12.97700023651123,323.5,825.0,647.0,7201.0,292987.0,212.0,222.0,44849.0,0.0,20.0,27710.0,4769.0,47983.0
2007-08-07,71.80000305175781,72.41999816894531,670.5999755859375,3.515500068664551,6.201000213623047,1289.300048828125,13.041000366210938,335.25,838.5,662.5,72.01000213623047,72.62000274658203,670.0,3.5199999809265137,6.400000095367432,1289.300048828125,13.041000366210938,335.75,839.5,670.75,70.55999755859375,71.13999938964844,666.5,3.493000030517578,6.175000190734863,1289.300048828125,13.041000366210938,323.5,824.0,658.25,70.80000305175781,72.05999755859375,670.0,3.493000030517578,6.260000228881836,1289.300048828125,13.041000366210938,324.75,826.75,664.5,6775.0,284128.0,313.0,281.0,66472.0,0.0,20.0,33438.0,3131.0,42035.0
2007-08-08,70.98999786376953,72.1500015258789,674.5,3.444999933242798,6.21999979019165,1289.0999755859375,13.118000030517578,341.0,855.0,679.0,72.02999877929688,73.19999694824219,676.2000122070312,3.4674999713897705,6.300000190734863,1289.0999755859375,13.118000030517578,342.75,854.5,681.75,70.66000366210938,71.8499984741211,674.0,3.4200000762939453,6.107999801635742,1289.0999755859375,13.118000030517578,333.25,838.0,661.0,71.44000244140625,72.37999725341797,674.7000122070312,3.4609999656677246,6.230000019073486,1289.0999755859375,13.118000030517578,334.75,838.0,661.5,5768.0,263747.0,136.0,151.0,69465.0,0.0,20.0,58250.0,2397.0,37564.0
